bairro,latitude,longitude
bairro,41.3720838,-8.4261843
70/RO,44.9466518,11.7626169
Aflitos,-8.0392007,-34.8967064
Afogados,-8.0755654,-34.9078066
Aguazinha,-8.0010705,-34.8841667
Alto Jardim Conquista,-22.242237,-49.9286074
Alto José Bonifácio,-8.0129991,-34.9127978
Alto José do Pinho,-8.0212968,-34.9081116
Alto Nova Olinda,-7.992504,-34.8923308
Alto Santa Terezinha,-26.7824314,-52.875081
Alto da Bondade,-7.9866317,-34.9108118
Alto da Conquista,-7.9814935,-34.8996885
Alto da Nação,-8.0002056,-34.8553797
Alto do Mandu,-8.0225212,-34.9281015
Alto do Sol Nascente,-7.9799274,-34.9050719
Amaro Branco,-8.0104475,-34.8451933
Amparo,-22.70111,-46.76444
Apipucos,-8.0190214,-34.9381275
Areias,-22.5800929,-44.6975127
Arruda,-8.0250816,-34.8913229
Bairro Novo,-14.6725959,17.7091848
Barra de Jangada,-8.2166117,-34.9319705
Barro,46.0004562,0.2267335
Beberibe,-4.1810469,-38.1298101
Benfica,38.7481712,-9.1994775
Boa Viagem,-5.1261877,-39.7300055
Boa Vista,2.8208478,-60.6719582
Bomba do Hemetério,-8.0215066,-34.9016494
Bongi,-8.0659688,-34.9215871
Bonsucesso,-22.8659317,-43.253318
Brasília Teimosa,-8.0827799,-34.8789567
Brejo da Guabiraba,-7.9918968,-34.9319992
Bulhões,-22.4725618,-44.3808215
Bultrins,-7.9995002,-34.8501475
Cabanga,-8.0798187,-34.8975605
Caixa D'água,-1.1880116,-47.1539782
Cajueiro,-9.399589,-36.1524309
Cajueiro Seco,-8.1708244,-34.9302827
Campina do Barreto,-8.0165641,-34.8820566
Campo Grande,-20.4640173,-54.6162947
Candeias,-20.7676161,-45.2763777
Carmo,-21.8921796,-42.5723319
Casa Amarela,-23.4729838,-46.5298945
Casa Caiada,-7.9846571,-34.8383477
Casa Forte,-8.0337811,-34.9183073
Cavaleiro,-8.1105721,-34.979761
Caxangá,-8.0303613,-34.949151
Caçote,-8.1010559,-34.9326892
Centro,47.5490251,1.7324062
Cidade Universitária,-22.8558233,-43.2309583
Coelhos,-8.0669866,-34.8885441
Cohab,-12.9549841,-38.4353524
Comportas,-8.1897962,-34.960469
Coqueiral,-21.1898365,-45.4409829
Cordeiro,-22.0287681,-42.3607442
Curado,-8.0752233,-34.9793157
Curado I,-8.0862584,-34.9897981
Curado II,-8.0781697,-34.9984342
Curado III,-8.0751115,-35.0129702
Curado IV,-8.0695877,-34.9959973
Córrego do Abacaxi,-7.9864585,-34.9034065
Derby,52.9142235,-1.4719885
Dois Carneiros,-8.1133211,-34.9704446
Dois Irmãos,-29.58356,-51.089776
Dois Unidos,-7.9974518,-34.9108119
Encruzilhada,-15.5317004,-40.909007
Engenho Velho,-27.7114504,-52.9125692
Engenho do Meio,-8.0565946,-34.9424194
Espinheiro,39.416791,-8.7368449
Floriano,-6.7675739,-43.022261
Fragoso,41.6104682,-8.6958178
Fundão,40.1408065,-7.5017521
Graças,47.0708678,15.4382786
Guabiraba,-7.9532851,-34.9537358
Guadalupe,16.2528827,-61.5686855
Guararapes,-21.2542739,-50.6440083
Hipódromo,-34.8615198,-54.9448254
Ibura,-8.1223529,-34.9321458
Ilha Joana Bezerra,-8.0708649,-34.8980461
Ilha do Leite,-8.0657057,-34.8941783
Ilha do Retiro,-8.063751,-34.9038034
Imbiribeira,-8.114025,-34.9129699
Jaboatão Centro,-8.130435,-35.0409256
Jaqueira,-8.7276422,-35.7948925
Jardim Atlântico,-16.7352986,-49.2925938
Jardim Brasil,-23.4819102,-46.5764471
Jardim Fragoso,-7.9787378,-34.8542829
Jardim Jordão,-8.1458194,-34.9324682
Jardim Piedade,-22.6822611,-47.6679479
Jardim São Paulo,-23.4910142,-46.6187979
Jatobá,-5.8195391,-44.223188
Linha do Tiro,-8.009652,-34.9052878
Macaxeira,-8.0118867,-34.9311631
Madalena,41.2128379,9.4054906
Madalena (Recife),-8.0537581,-34.9083686
Manassu,-8.0876012,-35.0312417
Marcos Freire,-8.7804445,-63.8057238
Milagres,-12.864635,-39.861092
Monte,42.4687171,9.3916453
Morro da Conceição,-22.8166653,-43.3541113
Muribeca,-10.4227085,-36.9567299
Muribeca dos Guararapes,-8.1583709,-34.9332831
Muribequinha,-8.1318468,-35.0120208
Mussuré,-7.2085327,-34.9269893
Nova Descoberta,-5.8269204,-35.1985475
Nova Morada,-8.025797,-34.9514947
Nova Olinda,-7.0934174,-39.6789815
Ouro Preto,-20.385527,-43.5035214
Paissandu,-23.4575884,-52.048988
Parnamirim,-5.9153334,-35.2679913
Passarinho,-7.9818033,-34.9231801
Pau Ferro,-8.1848139,-39.176281
Peixinhos,-8.0137705,-34.87208
Piedade,-23.7074096,-47.4252319
Pina,40.0209763,-0.6549547
Ponto de Parada,-8.0296995,-34.8930853
Porto da Madeira,-8.0070244,-34.8883412
Poço da Panela,-8.0351063,-34.9238704
Prado,41.9203967,-5.4203949
Praias,37.9539582,-8.8721562
Prazeres,38.7067848,-9.1675111
Recife Antigo,-8.0632498,-34.8727071
Rio Doce,-20.2447972,-42.8970432
Rosarinho,-8.0322834,-34.8978494
Salgadinho,-7.1024779,-36.8446805
San Martin,18.0814066,-63.0467131
Sancho,39.9553192,-0.932704
Santa Tereza,-29.1697808,-51.7363155
Santana,-12.979217,-44.05064
Santo Aleixo,38.9213853,-7.4186985
Santo Amaro,-12.5519686,-38.7060448
Santo Antônio,-29.826768,-50.517489
Sapucaia,-29.8197019,-51.1608722
Socorro,34.0572858,-106.8930799
Soledade,-28.8272467,-52.5109157
Sucupira,-11.9850885,-48.9113689
São Benedito,-4.0484353,-40.8646009
São José,-27.6157733,-48.6276491
Sítio Novo,-5.881254,-46.7017184
Sítio dos Pintos,-8.0110993,-34.9585766
Tabajara,-29.1556282,-53.0545196
Tamarineira,-8.0324159,-34.9010191
Tejipió,-8.0903379,-34.9565819
Torre,45.446377,9.877063
Torrões,-8.0618637,-34.9360457
Totó,-8.081921,-34.968953
Umuarama,-23.7621152,-53.3116192
Varadouro,38.5641906,-28.7737125
Vargem Fria,-8.1031082,-35.0487519
Vasco da Gama,-22.8915219,-43.2267195
Vila Popular,-23.5541496,-48.014438
Vila Rica,-20.385527,-43.5035214
Vila do Ipsep,-8.1059533,-34.9254622
Vista Alegre,-27.368619,-53.491876
Várzea,-6.7710581,-36.9912098
Zona Rural,11.2354953,-72.901875
Zumbi,-22.8212784,-43.1758609
Zumbi do Pacheco,-8.1308295,-34.9623762
Água Fria,-11.8784691,-38.7663706
Águas Compridas,-7.9906074,-34.8976237

